lr,gamma,epsilon,eps_decay,train_avg_last50,train_avg_steps,train_avg_deliveries,eval_avg_reward,eval_avg_steps,eval_avg_deliveries
0.0005,0.9,0.5,0.995,141.26,100.21,0.998,142.0,34.0,1.0
0.0005,0.9,0.9,0.995,147.16,167.524,0.978,142.0,34.0,1.0
0.0005,0.99,0.5,0.995,141.32,106.028,0.996,142.0,34.0,1.0
0.0005,0.99,0.9,0.995,141.74,170.44,0.974,142.0,34.0,1.0
0.001,0.9,0.5,0.995,141.2,98.454,0.992,142.0,34.0,1.0
0.001,0.9,0.9,0.995,140.52,172.97,0.97,142.0,34.0,1.0
0.001,0.99,0.5,0.995,141.06,100.352,1.0,142.0,34.0,1.0
0.001,0.99,0.9,0.995,143.98,171.012,0.978,142.0,34.0,1.0
0.005,0.9,0.5,0.995,143.46,91.216,1.0,142.0,34.0,1.0
0.005,0.9,0.9,0.995,141.28,160.866,0.986,142.0,34.0,1.0
0.005,0.99,0.5,0.995,142.74,88.236,0.998,142.0,34.0,1.0
0.005,0.99,0.9,0.995,144.06,167.11,0.982,142.0,34.0,1.0
0.01,0.9,0.5,0.995,142.1,89.79,1.0,142.0,34.0,1.0
0.01,0.9,0.9,0.995,141.48,185.636,0.968,142.0,34.0,1.0
0.01,0.99,0.5,0.995,141.98,83.416,0.998,142.0,34.0,1.0
0.01,0.99,0.9,0.995,143.56,167.666,0.978,142.0,34.0,1.0
